"Date and Time","snr","rssi"
"06/02/2023 05:23:46 pm","10,2",""
"06/02/2023 05:23:46 pm","","-83"
"06/02/2023 05:23:16 pm","5,8","-83"
"06/02/2023 05:23:06 pm","9,8","-84"
"06/02/2023 05:22:56 pm","9,8","-90"
"06/02/2023 05:22:26 pm","9,2","-87"
"06/02/2023 05:22:16 pm","7,2","-87"
"06/02/2023 05:21:56 pm","6,5",""
"06/02/2023 05:21:56 pm","","-93"
"06/02/2023 05:21:46 pm","10,2",""
"06/02/2023 05:21:46 pm","","-85"
"06/02/2023 05:21:26 pm","7,5","-82"
"06/02/2023 05:21:06 pm","9,2",""
"06/02/2023 05:21:06 pm","","-85"
"06/02/2023 05:20:56 pm","7,2","-80"
"06/02/2023 05:20:46 pm","8,8","-81"
"06/02/2023 05:20:26 pm","9",""
"06/02/2023 05:20:26 pm","","-81"
"06/02/2023 05:20:16 pm","9,5","-84"
"06/02/2023 05:20:05 pm","10,8","-87"
"06/02/2023 05:19:45 pm","-5","-81"
"06/02/2023 05:19:35 pm","6",""
"06/02/2023 05:19:35 pm","","-85"
"06/02/2023 05:19:15 pm","6,2","-87"
"06/02/2023 05:19:05 pm","10","-91"
"06/02/2023 05:18:35 pm","5,5",""
"06/02/2023 05:18:35 pm","","-93"
"06/02/2023 05:18:26 pm","8,2",""
"06/02/2023 05:18:26 pm","","-90"
"06/02/2023 05:18:15 pm","11,5",""
"06/02/2023 05:18:15 pm","","-95"
"06/02/2023 05:18:07 pm","6",""
"06/02/2023 05:18:07 pm","","-83"
